Unnamed: 0,College/University Name,Type (Engineering / Medical / Arts),Type of Institute,State,City,Address,Approval Year
0,,Applied Arts and Crafts,,Arunachal Pradesh,,,2014-2015
1,,Applied Arts and Crafts,,Arunachal Pradesh,,,2014-2015
2,,Applied Arts and Crafts,,Assam,,,2014-2015
3,,Applied Arts and Crafts,,Assam,,,2014-2015
4,,Applied Arts and Crafts,,Bihar,,,2014-2015
5,,Applied Arts and Crafts,,Bihar,,,2014-2015
6,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2014-2015
7,GOVERNMENT COLLEGE OF ART,Applied Arts and Crafts,Government,Chandigarh,CHANDIGARH,SECTOR 10C,2014-2015
8,,Applied Arts and Crafts,,Chhattisgarh,,,2014-2015
9,,Applied Arts and Crafts,,Chhattisgarh,,,2014-2015
10,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2014-2015
11,,Applied Arts and Crafts,,Dadra and Nagar Haveli,,,2014-2015
12,,Applied Arts and Crafts,,Daman and Diu,,,2014-2015
13,,Applied Arts and Crafts,,Daman and Diu,,,2014-2015
14,COLLEGE OF ART,Applied Arts and Crafts,Government,Delhi,EAST DELHI,20-22 TILAK MARG,2014-2015
15,,Applied Arts and Crafts,,Delhi,,,2014-2015
16,GOA COLLEGE OF ART,Applied Arts and Crafts,Government,Goa,NORTH GOA,"ALTINHO, PANAJI - GOA 403 001",2014-2015
17,,Applied Arts and Crafts,,Goa,,,2014-2015
18,,Applied Arts and Crafts,,Gujarat,,,2014-2015
19,,Applied Arts and Crafts,,Gujarat,,,2014-2015
20,GALAXY GLOBAL EDUCATIONAL TRUST'S GROUP OF INSTITUTIONS,Applied Arts and Crafts,Unaided - Private,Haryana,AMBALA,"SHAHABAD-SAHA ROAD, NH-73, VILL. DINARPUR, DISTT. AMBALA",2014-2015
21,,Applied Arts and Crafts,,Haryana,,,2014-2015
22,,Applied Arts and Crafts,,Himachal Pradesh,,,2014-2015
23,,Applied Arts and Crafts,,Himachal Pradesh,,,2014-2015
24,,Applied Arts and Crafts,,Jammu and Kashmir,,,2014-2015
25,,Applied Arts and Crafts,,Jammu and Kashmir,,,2014-2015
26,,Applied Arts and Crafts,,Jharkhand,,,2014-2015
27,,Applied Arts and Crafts,,Jharkhand,,,2014-2015
28,,Applied Arts and Crafts,,Karnataka,,,2014-2015
29,,Applied Arts and Crafts,,Karnataka,,,2014-2015
30,,Applied Arts and Crafts,,Kerala,,,2014-2015
31,,Applied Arts and Crafts,,Kerala,,,2014-2015
32,,Applied Arts and Crafts,,Madhya Pradesh,,,2014-2015
33,,Applied Arts and Crafts,,Madhya Pradesh,,,2014-2015
34,RACHANA SANSAD COLLEGE OF APPLIED ART & CRAFT,Applied Arts and Crafts,Unaided - Private,Maharashtra,MUMBAI CITY,"5TH FLOOR, 278, SHANKAR GHANEKAR MARG, PRABHADEVI, MUMBAI-400025 STATE-MAHARASHTRA (INDIA)",2014-2015
