Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2014-2015,Andaman and Nicobar Islands,Pharmacy,UG,No data available in table
2014-2015,Andaman and Nicobar Islands,Pharmacy,PG,No data available in table
2014-2015,Andhra Pradesh,Pharmacy,UG,No data available in table
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010797022,SRINIVASA INSTITUTE OF PHARMACETICAL SCIENCES,"SRI CHOWDESWARI NAGAR, PEDDASETTIPALLI, PRODDATUR-516361, KADAPA[DIST],ANDHRA PRADESH.",YSR DISTRICT,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010802886,NIMRA COLLEGE OF PHARMACY,"NIMRA NAGAR, JUPUDI, IBRAHIMPATNAM, VIJAYAWADA, KRISHNA DT. ANDHRA PRADESH",KRISHNA,Unaided - Private,N,Y,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010824768,MAHARAJAH'S COLLEGE OF PHARMACY,PHOOL BAUGH VIZIANAGARAM,VIZIANAGARAM,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010856232,NIRMALA COLLEGE OF PHARMACY,ATMAKURU(VILLAGE) MANAGALAGIRI(MANDAL) GUNTUR(DISTRICT) 522503 ANDHRA PRADESH,GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010860045,VALLABHANENI VENKATADRI INSTITUTE OF PHARMACEUTICAL SCIENCES,SESHADRI RAO KNOWLEDGE VILLAGE,KRISHNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010861457,ST.XAVIER INSTITUTE OF PHARMACY,DEENAPUR PHIRANGIPURAM - GUNTUR - DISTRICT ANDHRA PRADESH PIN - 522 529. INDIA.,GUNTUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Andhra Pradesh,Pharmacy,PG,1-2010866234,RAJIV GANDHI COLLEGE OF PHARMACY,"D.NO. 15-6-3, LUTHERGIRI, OPP. APP MILLS",EAST GODAVARI,Unaided - Private,N,N,Click Here,NA
